City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
0,okhotsk,88,RU,1554508184,77,59.36,36.3,6.62,143.24
1,busselton,0,AU,1554507909,56,-33.64,48.99,6.62,115.35
2,alofi,48,NU,1554505200,88,-19.06,80.6,9.17,-169.92
3,borogontsy,0,RU,1554508187,61,62.67,29.28,3.71,131.17
4,severomuysk,80,RU,1554508187,83,56.17,12.18,2.48,113.57
5,bubaque,8,GW,1554508191,83,11.28,83.64,13.22,-15.83
6,kahului,40,US,1554507571,48,20.89,86.0,6.93,-156.47
7,grand gaube,40,MU,1554508142,83,-20.01,78.8,13.87,57.66
8,bethel,1,US,1554504960,51,60.79,37.4,14.99,-161.76
9,bluff,0,AU,1554507482,48,-23.58,79.05,11.1,149.07
10,sao gabriel da cachoeira,44,BR,1554507904,82,-0.13,79.5,2.59,-67.09
11,dikson,76,RU,1554507801,92,73.51,18.57,12.88,80.55
12,toamasina,20,MG,1554505200,94,-18.17,75.2,2.26,49.38
13,kaitangata,0,NZ,1554508158,51,-46.28,57.99,1.99,169.85
14,ushuaia,75,AR,1554505200,93,-54.81,44.6,41.38,-68.31
15,saldanha,92,PT,1554508205,96,41.42,39.72,9.75,-6.55
16,cape town,0,ZA,1554507729,72,-33.93,60.01,5.82,18.42
17,atuona,24,PF,1554507829,100,-9.8,82.83,13.22,-139.03
18,mar del plata,12,AR,1554507700,44,-46.43,65.73,31.34,-67.52
19,shubarshi,68,KZ,1554508225,78,48.59,34.59,2.93,57.19
20,qaanaaq,0,GL,1554507781,77,77.48,-0.97,7.63,-69.36
21,saskylakh,8,RU,1554507939,73,71.97,8.13,9.98,114.09
22,hobart,40,AU,1554508035,48,-42.88,64.0,14.99,147.33
23,albany,90,US,1554507497,80,42.65,34.0,12.75,-73.75
24,yellowknife,20,CA,1554507727,48,62.45,21.2,8.05,-114.38
25,souillac,0,FR,1554507967,76,45.6,51.01,2.24,-0.6
26,dryden,90,CA,1554505200,86,49.79,37.4,5.82,-92.84
